Altium Designer Pick and Place Locations
C:\projects\hcu_hardware\hardware\zeleno_hcucc_r1\.\REV1.2\Pick Place\Pick Place for hcucc_r1.2(NREL_Production).txt

========================================================================================================================
File Design Information:

Date:       29/07/24
Time:       01:19
Revision:   b1aa59978447bcba6e1cb286160fb2aa1bdb8dfd
Variant:    NREL_Production
Units used: mil

Designator Comment                  Layer       Footprint               Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                           
R36        34k                      TopLayer    PANASONIC_0402          951.102       816.929       0        "Thick Film Resistors - SMD 1/16watt 34Kohms 1% Commercial Use"                                                                                       
R34        470                      TopLayer    PANASONIC_0402          905.512       -29.527       90       "Thick Film Resistors - SMD 1/16watt 470ohms 1%"                                                                                                      
R31        "0 Ohms"                 TopLayer    PANASONIC_0402          1756.755      339.663       180      "Thick Film Resistors - SMD 1/16watt 0ohm"                                                                                                            
R12        5.11k                    TopLayer    PANASONIC_0402          137.795       255.905       180      "Thick Film Resistors - SMD 1/16watt 5.11Kohms 1%"                                                                                                    
R11        5.11k                    TopLayer    PANASONIC_0402          367.871       245.298       90       "Thick Film Resistors - SMD 1/16watt 5.11Kohms 1%"                                                                                                    
R10        470                      TopLayer    PANASONIC_0402          787.402       -29.843       90       "Thick Film Resistors - SMD 1/16watt 470ohms 1%"                                                                                                      
R9         470                      TopLayer    PANASONIC_0402          679.134       -29.527       90       "Thick Film Resistors - SMD 1/16watt 470ohms 1%"                                                                                                      
R8         10                       TopLayer    PANASONIC_0402          669.291       127.953       180      "Dale Thick Film Resistors - SMD 1/16watt 10ohms 1%"                                                                                                  
R7         470                      TopLayer    PANASONIC_0402          561.024       -29.527       90       "Thick Film Resistors - SMD 1/16watt 470ohms 1%"                                                                                                      
R6         11.5k                    TopLayer    PANASONIC_0402          164.889       564.857       0        "Thick Film Resistors - SMD 1/16watt 11.5Kohms 1% Commercial Use"                                                                                     
R5         470                      TopLayer    PANASONIC_0402          1023.622      -29.527       270      "Thick Film Resistors - SMD 1/16watt 470ohms 1%"                                                                                                      
R4         154k                     TopLayer    PANASONIC_0402          217.115       530.040       0        "Thick Film Resistors - SMD 1/16watt 154Kohms 1% Commercial Use"                                                                                      
R3         154k                     TopLayer    PANASONIC_0402          161.112       508.029       90       "Thick Film Resistors - SMD 1/16watt 154Kohms 1% Commercial Use"                                                                                      
R2         383k                     TopLayer    PANASONIC_0402          118.133       507.313       90       "Thick Film Resistors - SMD 1/16watt 383Kohms 1%"                                                                                                     
R1         10k                      TopLayer    PANASONIC_0402          1151.575      -29.527       90       "Thick Film Resistors - SMD 1/16watt 10Kohms 1% Commercial Use"                                                                                       
L33        10n                      TopLayer    MURATA_IND_0201         1810.947      596.636       0        "INDUCTOR, RF, CHIP, NON-MAGNETIC CORE, 10nH, -3%/+3%, 0.25A, -55DEGC/+125DEGC, 0201, SMD"                                                            
L32        3.9n                     TopLayer    MURATA_IND_0201         1700.836      586.794       0        "INDUCTOR, RF, CHIP, NON-MAGNETIC CORE, 3.9nH, -0.1nH/+0.1nH, 0.5A, -55DEGC/+125DEGC, 0201, SMD"                                                      
L31        7.5n                     TopLayer    MURATA_IND_0201         1887.844      596.636       0        "INDUCTOR, RF, CHIP, NON-MAGNETIC CORE, 7.5nH, -3%/+3%, 0.3A, -55DEGC/+125DEGC, 0201, SMD"                                                            
L30        22n                      TopLayer    MURATA_IND_0201         1761.734      584.952       90       "INDUCTOR, RF, CHIP, NON-MAGNETIC CORE, 22nH, -3%/+3%, 0.15A, -55DEGC/+125DEGC, 0201, SMD"                                                            
L29        3.9n                     TopLayer    MURATA_IND_0201         1700.836      557.266       0        "INDUCTOR, RF, CHIP, NON-MAGNETIC CORE, 3.9nH, -0.1nH/+0.1nH, 0.5A, -55DEGC/+125DEGC, 0201, SMD"                                                      
L28        *                        TopLayer    0402_FERRITE_BEAD       2047.241      541.335       180      "Ferrite Beads 1800ohms GHz HiSpd"                                                                                                                    
L27        *                        TopLayer    0402_FERRITE_BEAD       2047.241      580.706       180      "Ferrite Beads 1800ohms GHz HiSpd"                                                                                                                    
L26        10n                      TopLayer    MURATA_IND_0201         1761.734      549.266       90       "INDUCTOR, RF, CHIP, NON-MAGNETIC CORE, 10nH, -3%/+3%, 0.25A, -55DEGC/+125DEGC, 0201, SMD"                                                            
